term,definition
pelvic outlet,"inferior opening of the lesser pelvis; formed by the inferior margin of the pubic symphysis, right and left ischiopubic rami and sacrotuberous ligaments, and the tip of the coccyx."
pelvis,"ring of bone consisting of the right and left hip bones, the sacrum, and the coccyx."
penis,male organ of copulation.
pepsinogen,inactive form of pepsin.
peptide bond –,bond formed between two amino acids by a dehydration reaction.
perforating canal,"(also, Volkmann’s canal) channel that branches off from the central canal and houses vessels and nerves that extend to the periosteum and endosteum."
perforin,molecule in NK cell and cytotoxic T cell granules that form pores in the membrane of a target cell.
perfusion,distribution of blood into the capillaries so the tissues can be supplied.
pericardial artery,branch of the thoracic aorta; supplies blood to the pericardium.
pericardial cavity,cavity surrounding the heart filled with a lubricating serous fluid that reduces friction as the heart contracts.
pericardial sac,"(also, pericardium) membrane that separates the heart from other mediastinal structures; consists of two distinct, fused sublayers: the fibrous pericardium and the parietal pericardium."
pericardium,"(also, pericardial sac) membrane that separates the heart from other mediastinal structures; consists of two distinct, fused sublayers: the fibrous pericardium and the parietal pericardium."
perichondrium,membrane that covers cartilage.
pericyte,stem cell that regenerates smooth muscle cells.
perimetrium,outer epithelial layer of uterine wall.
perimysium,connective tissue that bundles skeletal muscle fibres into fascicles within a skeletal muscle.
perineurium,layer of connective tissue surrounding fascicles within a nerve.
periodontal ligament,band of dense connective tissue that anchors the root of a tooth into the bony jaw socket.
peripheral chemoreceptor,"one of the specialised receptors located in the aortic arch and carotid arteries that sense changes in pH, carbon dioxide, or oxygen blood levels."
peripheral nervous system (PNS),"anatomical division of the nervous system that is largely outside the cranial and vertebral cavities, namely all parts except the brain and spinal cord."
peripheral protein,"membrane-associated protein that does not span the width of the lipid bilayer, but is attached peripherally to integral proteins, membrane lipids, or other components of the membrane."
peripheral tolerance,mature B cell made tolerant by lack of T cell help.
periosteum,fibrous membrane covering the outer surface of bone and continuous with ligaments.
peristalsis,muscular contractions and relaxations that propel food through the GI tract.
peritoneum,serous membrane that lines the abdominopelvic cavity and covers the organs found there.
peritubular capillaries,second capillary bed of the renal portal system; surround the proximal and distal convoluted tubules; associated with the vasa recta
permanent tooth,one of 32 adult teeth.
peroxisome,membrane-bound organelle that contains enzymes primarily responsible for detoxifying harmful substances.
perpendicular plate of the ethmoid bone,"downward, midline extension of the ethmoid bone that forms the superior portion of the nasal septum."
petrosal sinus,enlarged vein that receives blood from the cavernous sinus and flows into the internal jugular vein.
petrous ridge,"petrous portion of the temporal bone that forms a large, triangular ridge in the floor of the cranial cavity, separating the middle and posterior cranial fossae; houses the middle and inner ear structures."
phagocytosis,endocytosis of large particles.
phalanx bone of the foot,"(plural = phalanges) one of the 14 bones that form the toes; these include the proximal and distal phalanges of the big toe, and the proximal, middle, and distal phalanx bones of toes two through five."
phalanx bone of the hand,"(plural = phalanges) one of the 14 bones that form the thumb and fingers; these include the proximal and distal phalanges of the thumb, and the proximal, middle, and distal phalanx bones of the fingers two through five."
pharyngeal tonsil,structure composed of lymphoid tissue located in the nasopharynx.
pharynx,region of the conducting zone that forms a tube of skeletal muscle lined with respiratory epithelium; located between the nasal conchae and the oesophagus and trachea.
philtrum,concave surface of the face that connects the apex of the nose to the top lip.
phosphatase,brush border enzyme that digests nucleotides.
phosphodiester –,linkage covalent chemical bond that holds together the polynucleotide chains with a phosphate group linking neighbouring nucleotides’ two pentose sugars.
phosphodiesterase (PDE),cytosolic enzyme that deactivates and degrades cAMP.
